date,metric_name,value,segment,plan,region,domain,description
2025-01-15,Strategic Alignment Index,0.8454,Mid-Market,Basic,APAC,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-01-15,Strategic Alignment Index,0.6775,SMB,Enterprise,North America,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-01-15,Strategic Alignment Index,0.83,Mid-Market,Pro,APAC,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-02-14,Strategic Alignment Index,0.7868,Mid-Market,Enterprise,North America,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-02-14,Strategic Alignment Index,0.6867,Mid-Market,Pro,North America,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-02-14,Strategic Alignment Index,0.6088,Mid-Market,Basic,APAC,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-03-16,Strategic Alignment Index,0.807,SMB,Enterprise,EMEA,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-03-16,Strategic Alignment Index,0.7397,Enterprise,Pro,North America,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-03-16,Strategic Alignment Index,0.8022,Enterprise,Enterprise,North America,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-04-15,Strategic Alignment Index,0.6618,Mid-Market,Enterprise,North America,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-04-15,Strategic Alignment Index,0.6853,SMB,Enterprise,North America,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-04-15,Strategic Alignment Index,0.7274,Enterprise,Enterprise,North America,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-05-15,Strategic Alignment Index,0.8388,Mid-Market,Pro,North America,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-05-15,Strategic Alignment Index,0.6072,Mid-Market,Enterprise,North America,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-05-15,Strategic Alignment Index,0.7314,SMB,Enterprise,APAC,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
2025-06-14,Strategic Alignment Index,0.725,SMB,Enterprise,APAC,"Strategy [Inferred] (Measures alignment on ""core priorities"" among leaders,",The percentage of leaders scoring alignment high across core priorities.
